ID	Name	DC	Item	Value	Weight	Crafting	Requires	ValueNumber	WeightNumber	Multiplier	Misc	Description
aarakocra	Aarakocra	5	Aarakocra Feathers (small pouch)	8sp	2 lb.			0.8	2	1		The large feathers of an aarakocra are enjoyed among some of the more ostentatious members of society as fun accessories and fashion highlights. If you can find a tailor willing to take them, you are sure to be able to earn at least a few silver for a good amount of them. 
aarakocra	Aarakocra	10	Aarakocra Heart	2gp	5lb.			2	5	1		Aarakocra have an innate connection to the elemental planes that allows them to summon air elementals when enough of them gather together. Burning their hearts in an offering can achieve much of the same effect but with less control over the temperment of the summoned elemental. Use: When 5 different creatures within 30 feet of each other hold 5 different aarakocra hearts and spend their actions on three consecutive turns to burn the hearts, they may summon an air elemental in an unoccupied space within 60 feet of them. The burners must remain still while burning the hearts. This elemental is hostile to all creatures it can see around it, but any of the 5 creatures that summoned it can spend their action to try and succeed on a DC 15 Charisma (Persuasion) check to direct the air elemental's hostility at a creature they can both see within 60 feet. The air elemental remains for 1 hour.
aboleth	Aboleth	10	Aboleth Teeth (large bag)	20 gp	15 lb.			20	15	1		The razor sharp teeth that line the stinking maw of the aboleth are each as large as a human's forearm and twice as thick. While too unwieldy and crooked to turn into a weapon, more exotic merchants would pay a tidy sum to turn them into decorations and trinkets.
aboleth	Aboleth	15	Aboleth Mucus	20 gp	1 lb.	Potion of Water Breathing (DMG)	vial	20	1	3	 (3 vials)	Aboleths demand service and obsequience, even going so far as to warp the creatures around themselves to suit their domain. While the transformative mucus that surrounds the aboleth tends to dissipate quickly after their death, swift harvesters can bottle some of it for use in alchemy projects later.
aboleth	Aboleth	20	Aboleth Eye	375 gp	45 lb.	Lens of Forgotten History		375	45	1		Larger than a normal creature's head. Removed from its skull and ever unblinking, it still seems to see more than most mortals ever will.
aboleth	Aboleth	25	Aboleth Brain Lobe	1,600 gp	30 lb.	Aboleth Amulet		1600	30	1		The power of the aboleth lies not in its many tentacles, but in its brain. Even now and then, when you hold it long enough, you swear you can hear whispers of forgotten history in the corner of your mind.
deva	Deva	10	Deva Blood	450 gp	1 lb.		vial	450	1	3	 (3 vials)	The blood of an angel flows with radiant energy that brings life to all it touches (it clearly didn't work hard enough for its original owner though). Many of the most desperate people actively seek angels in an attempt to harvest their blood as a panacea, without putting much thought into the worse fate that awaits them should they succeed. Use: When you drink this blood, you regain 4d8+2 hit points and are freed from any curse (except the curse of the fallen), disease, poison, blindness, and deafness.
deva	Deva	15	Deva Wing	700 gp	20 lb.	Wings of Flying (DMG)		700	20	2	 (x2)	There is perhaps nothing more distinctive than the sillhouette of glorious white angel wings against a radiant light. As some of the most powerful magical wings in all the planes, these make for almost perfect base materials for the ever-useful wings of flying.
deva	Deva	20	Deva Skin	750 gp	25 lb.	Angel Robe		750	25	1		The alabaster white skin of a deva gleams in the morning sun, and a single glance of its beatuty has been known to turn sinners from their paths of evil. If you are not one of those people however, you may take this skin and use it to simulate some of the miraculous abilities inherent in these angels.
planetar	Planetar	5	Planetar Ear	200 gp	2 lb.			200	2	2	 (x2)	A planetar is known for its ability to hear lies whenever they are spoken. Their ears carry on this trait even in death and can be seen twitching when falsehood passes through them. Use: While holding two of these ears, you have advantage on Wisdom (Insight) ability checks to detect a lie being spoken.
planetar	Planetar	10	Planetar Blood	600 gp	1 lb.		vial	600	1	3	 (3 vials)	The blood of an angel flows with radiant energy that brings life to all it touches (it clearly didn't work hard enough for its original owner though). Many of the most desperate people actively seek angels in an attempt to harvest their blood as a panacea, without putting much thought into the worse fate that awaits them should they succeed. Use: When you drink this blood, you regain 6d8+3 hit points and are freed from any curse (except the curse of the fallen), disease, poison, blindness, and deafness.
planetar	Planetar	15	Planetar Wing	700 gp	30 lb.	Wings of Flying (DMG)		700	30	2	 (x2)	There is perhaps nothing more distinctive than the sillhouette of glorious white angel wings against a radiant light. As some of the most powerful magical wings in all the planes, these make for almost perfect base materials for the ever-useful wings of flying.
planetar	Planetar	25	Planetar Bone	7,500 gp	6 lb.	Divine Justice		7500	6	1		The celestial bones of a planetar are stronger than steel and carry a charge of radiant energy within them long after their owner's demise. While most radiantly infused weapons are designed to force evil creatures to scurry away, weapons forged from the ever-vigilant planetars are designed to keep evil creatures nearby, ensuring they meet their divine judgement.
solar	Solar	5	Solar Ear	200 gp	2 lb.			200	2	2	 (x2)	A solar is known for its ability to hear lies whenever they are spoken. Their ears carry on this trait even in death and can be seen twitching when falsehood passes through them. Use: While holding 2 of these ears, you have advantage on Wisdom (Insight) ability checks to detect a lie being spoken.
