ID	Name	Description
aboleth-amulet	Aboleth Amulet	Wondrous item, very rare (requires attunement) Crafted by: Aboleth Brain x1 (Artificer) This pale turquoise amulet seems to have a faint flicker of something moving in it, like seeing a creature in murky waters. While wearing this amulet, you gain telepathy out to a range of 120 ft., can understand and speak Deep Speech, and become proficient in Intelligence (History) checks if you weren’t proficient already.You may also spend an action to target one creature you can see within 30 feet of you. That target must succeed on a DC 14 Wisdom saving throw or be magically charmed by you. This charm persists until either you or the target dies, or if you are on different planes of existence. You and the charmed target may communicate with each other telepathically over any distance so long as you are wearing and attuned to this item. You may only have up to 3 targets charmed in this way at a time. If you successfully charm another target while you already have 3 targets charmed, the charm effect ends on the creature that you charmed first. Whenever the charmed target takes damage, they may repeat the saving throw. On a success, the effect ends. No more than once every 24 hours, the target can also repeat the saving throw when it is at least 1 mile away from you. If a creature succeeds on either resisting the charm effect or if the charm effect on them ends, they become immune to this ability for the next 24 hours.
amulet-of-secrets	Amulet of Secrets	Wondrous item, very rare (requires attunement) Crafted by: Sphinx Heart x1 (Artificer) This blood red amulet is set inside a gold frame the colour of desert sand. While wearing and attuned to this amulet, you gain an uncanny ability to disguise your thoughts and emotions. You become immune to any effect that would sense your emotions or read your thoughts, as well as any divination spell that you refuse. Wisdom (Insight) checks made to ascertain your intentions or sincerity have disadvantage. In addition, you may use the amulet to cast the spell zone of truth without using a spell slot or requiring any components. The DC for the casting of this spell in this way is 8 + your Charisma modifier + your proficiency bonus, and you are exempt from the effects of the spell. Once you have used this ability 3 times in one day, you may not use it again until you finish a long rest.
amulet-of-maglubiyet	Amulet of Maglubiyet	Wondrous item, rare (requires attunement) Crafted by: Mark of Maglubiyet x1 (Thaumaturge) While wearing this amulet, you gain the ability to spend your action and martial your allies with your resounding leadership. For 1 minute, you may utter a special command or warning whenever a non-hostile creature that you can see within 30 feet of it makes an attack roll or a saving throw. The creature can add a d4 to its roll provided it can hear and understand you. A creature can benefit from only one of these effects at a time. This effect ends early if you are incapacitated.
amulet-of-the-desert-tyrant	Amulet of the Desert Tyrant	Wondrous item, legendary (requires attunement) Crafted by: Mummy Lord Heart x1 (Artificer) This item has 9 charges. While wearing this amulet you may spend an action and 1 or more charges to do any of the following: You may use the item to cast any of the following spells: spiritual weapon (2 charges, plus 1 additional charge for every level cast above 2nd), animate dead (3 charges plus 1 additional charge for every level cast above 3rd), guardian of faith (4 charges), insect plague (5 charges, plus 1 additional charge for every level cast above 5th), or harm (6 charges). You create a cloud of blinding dust and sand around yourself. Each creature within 5 feet of you must succeed on a DC 16 Constitution saving throw or be blinded until the end of their next turn (2 charges). You transform yourself into a whirlwind of sand and immediately move up to 60 feet and then revert to normal form. While in whirlwind form, you are immune to all damage, and you can’t be grappled, petrified, knocked prone, restrained or stunned. Equipment worn or carried by you remain in your possession (2 charges). If you die while wearing this amulet, and if this amulet has at least 7 charges in it, the amulet will automatically expend 7 charges to create a new body for your soul to inhabit. This body is formed from dust in a space within 5 feet of the amulet over the course of 24 hours, upon which the amulet can be placed on the new body, allowing your soul to enter it and return to life. This new body is a duplicate of your original one at the moment of its death but with all wounds healed and all hit points restored. This ability fails if the amulet is destroyed or removed from your body during the 24 hours it is creating a new body. This item regains 1d8+1 charges daily at dawn.
amulet-of-the-mind-flayer	Amulet of the Mind Flayer	Wondrous item, rare (requires attunement) Crafted by: Mind Flayer Heart x1 (Artificer) While you are wearing this amulet, you may spend an action to designate up to 4 willing creatures within 30 feet of you as your thralls. So long as you and your thralls are on the same plane of existence, you may communicate with them telepathically. In addition, so long as you and at least one of your thralls are within 30 feet of each other, you both gain advantage on Intelligence saving throws, and if you suffer psychic damage, you may spend your reaction to force your thrall to suffer some, or all of that damage instead of you. You may only have up to 4 creatures as your thralls at a time. If you wish to add a new creature, you must spend an action breaking your connection to one of your old ones first.Curse: Using this amulet is a dangerous proposition due to its vile origins. Attuning to this amulet curses you until you are targeted by the remove curse spell or similar magic. While cursed, you automatically fail on saving throws imposed by members of the illithid race, including elder brains and intellect devourers. 
amulet-of-the-ocean-lord	Amulet of the Ocean Lord	Wondrous item, legendary (requires attunement) Crafted by: Kraken Brain Stem x1 (Artificer) This item has 9 charges. While wearing this amulet, you may spend an action and 1 or more charges to do any of the following: You may cast any of the following spells without requiring any components or spell slots: conjure elemental (1 charge, water elementals only), chain lightning (1 charge), tsunami (2 charges), or control weather (2 charges). These spells use your spell DC. If you do not have one, the DC is equal to 8 + your Intelligence modifier. For the next hour, any aquatic creature within 6 miles of you that has an Intelligence score of 2 or lower are charmed by you and aggressive towards targets of your choosing. These creatures understand verbal commands you give them, and you telepathically understand basic ideas and images from them while they are within 30 feet of you (1 charge). While you are submerged in water, you may emit a magical pulse that allows you to sense the distance, direction, and shape of any solid object and creature that are both within 1 mile of you and within the same body of water as you (1 charge). This item regains 1d8 charges daily at dawn.
amulet-of-the-trickster	Amulet of the Trickster	Wondrous item, very rare (requires attunement) Crafted by: Rakshasa Heart x1 (Artificer) When you kill a humanoid while wearing this amulet, you may spend your reaction to add an imprint of their identity to it. At any time afterwards, you may spend your action to polymorph yourself into any humanoid whose identity you have imprinted into this amulet. You gain the statistics of that creature, including their ability scores and any racial features, but you do not gain any of their class features. While polymorphed, you gain access to any memories that humanoid had at the time of their death, and your mannerisms and voice become indistinguishable to the real humanoid. This polymorph lasts for 1 hour, until your drop to 0 hit points or die, or if you end the effect early as an action. If the effect ends as a result of dropping to 0 hit points, any excess damage carries over to your normal form.This polymorph ability may only be used once per dawn to polymorph into each identity you have imprinted. This item loses any imprinted identities it had if attunement to it is ever broken. 
angel-robe	Angel Robe	Wondrous item, rare (requires attunement) Crafted by: Deva Skin (Leatherworker) You gain a +1 bonus to AC while wearing this robe and all your weapon attacks are considered magical. In addition, you gain the ability to spend an action to polymorph yourself into a humanoid or beast that has a challenge rating equal to or lower than your character level, or back into your true form. You revert to your true form if you die or drop to 0 hit points. If the effect ends due to dropping to 0 hit points, any excess damage carries over to your true form. Any equipment you are wearing or carrying is absorbed or borne by the new form (your choice).In a new form, you retain your statistics and ability to speak, but your AC, movement modes, Strength, Dexterity, and special senses are replaced by those of the new form, and you gain any statistics and capabilities (except class features, legendary action, and lair actions) that the new form has but that you lack.
anti-magic-crystal	Anti-Magic Crystal	Wondrous item, very rare Crafted by: Beholder Main Eye x1 (Artificer) This roughly basket sized crystal radiates a field of energy that disrupts the normal flow of the multiverse and prevents magical forces from acting in its proximity. This crystal creates an area of antimagic around itself, as in the antimagic field spell, in a 150-foot radius. This field passes through all solid objects except a layer of lead that is at least 1 inch thick. This crystal cannot be deactivated (including in other antimagic fields) and only stops functioning if it is destroyed. The crystal has 30 hit points, 15 AC and is immune to poison and psychic damage. 
armour-of-the-guardian	Armour of the Guardian	Armour (breastplate), rare (requires attunement) Crafted by: Shield Guardian Breastplate x1 (Blacksmith) While wearing this armour, you gain a +1 bonus to AC. You also gain a special connection to the wearer of the amulet that was connected to the shield guardian that provided the breastplate to craft this armour. Whenever the wearer of that amulet takes damage and is within 60 feet of you, half of that damage (rounded up) is transferred to you. In addition, whenever a creature makes an attack against the wearer of the amulet, you may use your reaction to grant a +2 bonus to the wearer’s AC if you are within 5 feet of them. 
bag-of-colding	Bag of Colding	Wondrous item, uncommon Crafted by: Ghast Hide x1 or Ghoul Hide x1 or Frost Giant Tongue x1/4 (Leatherworker) This bag has a permanent enchantment on it that causes any organic material inside it to be kept in a state of preservation as if it had the spell gentle repose cast upon it. This effect wears off as soon as the item is removed from the bag, and the bag must be completely closed in order for its ability to function. The bag is capable of holding up to 3 cubic feet of material inside it and its opening can open up to 1 foot in diameter. 
barbed-cloak	Barbed Cloak	Wondrous item, uncommon Crafted by: Barded Hide x1 (Leatherworker) While you are wearing this cloak, you deal 1d10 piercing damage to any creature grappling you at the start of your turn.
basilisk-gaze-poison	Basilisk Gaze Poison	Poison, uncommon Crafted by: Basilisk Eye x1 (Alchemist) A creature that drinks this poison must succeed on a DC 12 Constitution saving throw or become poisoned for 24 hours. While poisoned in this way, a creature magically turns to stone and is petrified. A creature remains petrified like this until either the 24 hours have passed, or until freed by the greater restoration spell or similar magic.
black-heart	Black Heart	Wondrous item, very rare Crafted by: Death Knight Heart x1 (Thaumaturge) This item has an intrinsic link with the death knight from whom it was crafted. When held by a creature, it will beat when faced in the direction of that death knight if that death knight is still animate and on the same plane of existence as the holder. The frequency and intensity of its beats will also increase the closer it is to its death knight. 
blight-oil	Blight Oil	Oil, common Crafted by: Blight Seed x5 (Alchemist) This bottle contains enough oil to cover up to 10 square feet of surface area. Once this oil is rubbed into the surface of vegetation, it will soak half a foot into it. Vegetation soaked in this oil becomes as soft and malleable as wet clay and retains any physical manipulation done to it. The oil dries after 10 minutes, causing the vegetation it was rubbed on to become solid again. 
blinders-helm	Blinders Helm	Wondrous item, rare (requires attunement) Crafted by: Helmed Horror Helmet x1 (Artificer) While wearing this helmet, you gain a blindsight out to a range of 60 feet, and are immune to the blinded, and deafened conditions. 
bronze-companion	Bronze Companion	Wondrous item, uncommon Crafted by: Spark of Creation x1 (Tinker) This three-inch tall bronze statue is a perfect replica of any beast. When the command word is spoken, the statue comes to life and mimics the actions and behaviour of the animal it is modelled after. It possesses no other traits of its model animal, except flight which it can mimic up to a speed of 10 ft. This statue is friendly towards whoever spoke its command word and obeys basic instructions given to it. The statue can make small noises mimicking its model animal and can carry a maximum weight of 1 pound. If its command word is spoken again, the statue becomes inert once more.
camouflage-chitin	Camouflage Chitin	Armour, rare Crafted by: Thri-Kreen Carapace x1 (Blacksmith) This full chitin armour has an AC of 13 + Dexterity modifier (max 2). While wearing this armour, you may change its appearance to match the colour and texture of your surroundings. If you do so, you gain advantage on Dexterity (Stealth) checks made to hide.
canteen-of-last-resort	Canteen of Last Resort	Wondrous item, common Crafted by: Ankheg Gaster x1 (Artificer) This canteen resembles a gourd in the shape of an “8”, with the bottom sphere smaller than the top, and with two plugged openings on the top and bottom. When fertile soil is left in the top sphere, the canteen slowly extracts usable nutrients from it, which it filters into an edible slime in the bottom sphere. The top sphere is capable of holding up to 3 pounds of fertile soil, which if left for at least 16 hours, produces enough slime to provide the nutritional requirements of an average humanoid for a day. This slime has a repugnant taste and expires if not eaten within 24 hours.
cape-of-helping-hands	Cape of Helping Hands	Wondrous item, very rare (requires attunement) Crafted by: Marilith Spine x1 (Leatherworker) This leather cape is formed from two enchanted sheets of leather, connected to a repurposed marilith spine running down the centre. While wearing this cape, you may speak the command word as an action to animate the two sheets of leather which detach from the spine and form an extra set of arms and hands. You may control these arms and hands as if they were your own free hands, and they have a reach, strength, and dexterity equal to your regular arms and hands. You do not gain any extra attacks, and the rules for two-weapon fighting remain unchanged. These extra hands remain for 1 hour or until you dismiss them by repeating the command word as an action. When they disappear, they cannot be used again for the next 1d6 hours.
celestial-helm	Celestial Helm	Wondrous item, legendary (requires attunement) Crafted by: Solar Eye x2 (Artificer) This helm has 9 charges and regains 1d8 charges at dawn. While wearing this helm, you spend an action to expend 1 or more charges to do any of the following: You, and any equipment you are wearing or carrying, teleport up to 120 feet to an unoccupied space you can see. (1 charge) You emit a magical, divine energy. Each creature of your choice in a 10-foot radius centered on yourself must make a DC 20 Dexterity saving throw, taking 4d6 fire damage plus 4d6 radiant damage on a failed save, or half as much on a successful one. (1 charges) You target one creature you can see within 30 feet. If the target can see, it must succeed on a DC 15 Constitution saving throw or be blinded until magic such as the lesser restoration spell removes the blindness. (2 charges)  You release your held melee weapon to hover magically in an unoccupied space within 5 feet of you. If you can see the melee weapon, you can mentally command it as a bonus action to fly up to 50 feet and either make one attack against a target or return to your hands. If the hovering sword is targeted by any effect, you are considered to be holding it. The hovering weapon falls if you die or take off the helmet. Otherwise, this effect lasts for 1 minute. This ability may only be used on one melee weapon at a time, any attempt to use it on another while one is already under its effect causes the original one to fall to the ground. (2 charges) 
chain-of-command	Chain of Command	Weapon (whip), rare (requires attunement) Crafted by: Succubus/Incubus Tail x1 (Blacksmith) While holding this weapon, you may use this weapon to make grapple checks instead of using a free hand. While you have a creature grappled this way, you can't attack with this weapon.If you have a creature grappled by this weapon, you may spend your action to force that creature to succeed on a DC 15 Wisdom saving throw or be charmed by you for 24 hours. While charmed, the creature obeys your verbal or telepathic commands to the best of its ability. If the creature suffers any harm or receives a command that would be hazardous to itself, it can repeat the saving throw, ending the effect on a success. If the creature successfully saves against this effect, or if the effect on it ends, it becomes immune to this effect for the next 24 hours.You may only have one creature charmed at a time. If you charm another, the effect on the previous creature ends.
chain-of-entanglement	Chain of Entanglement	Weapon (whip), rare (requires attunement) Crafted by: Living Chain x1 (Artificer) You may use this weapon instead of your free hand when you make grapple checks. While you have a creature grappled this way, you cannot make attacks with this weapon.Additionally, while holding this item, you may spend an action to speak this item’s command word and throw it into an unoccupied space within 5 feet of you. At this point, this weapon becomes magically animate and may attack and move freely for the next minute. As a bonus action on your turn, you may either mentally command the chain to move up to 20 feet in any direction or make an attack against a target within 10 feet of it. At the end of the minute or if you drop unconscious, the chain drops to the ground and this ability cannot be used again until the next dawn. While animate, treat this weapon as if it had 14 Strength and a +2 proficiency bonus for the sake of attack rolls, damage rolls, and grapple checks. 
charming-knife	Charming Knife	Weapon (dagger), rare Crafted by: Lamia Claw x1 (Blacksmith) As an action, you may speak this weapon’s command word to activate its ability for the next minute. While this dagger’s ability is active, any damage it deals to a creature that is charmed by you does not count as damaging it or doing anything harmful to it for the sake of potentially ending the charm effect. Once this ability has been used once, it cannot be used again until the next dawn.
chest-burster	Chest Burster	Poison, rare Crafted by: Slaad Egg Gland x1 (Alchemist) This insidious poison is riddled with tiny slaadi eggs, kept preserved inside the noxious solution that serves as this poison’s base. A creature that drinks a dose of this poison must succeed on a DC 14 Constitution saving throw or be infected with a disease – a miniscule slaad egg. A humanoid host can carry only one slaad egg to term at a time. Over three months, the egg moves to the chest cavity, gestates, and forms a slaad tadpole. In the 24-hour period before giving birth, the host starts to feel unwell, its speed is halved, and it has disadvantage on attack rolls, ability checks, and saving throws. At birth, the tadpole chews its way through vital organs and out of the host's chest in 1 round, killing the host in the process.If the disease is cured before the tadpole's emergence, the unborn slaad is disintegrated. This item contains enough poison for 3 doses.
chimera-kite	Chimera Kite	Wondrous item, rare Crafted by: Chimera Dragon Wing x2 (Leatherworker) This wondrous kite is normally kept folded up into a single neat pole. You may spend 1 minute unfolding the kite into its flight mode which possesses two great wings, a handle, and a leather harness for the user to strap themselves into. While in flight mode, a creature strapped into the harness can speak the command word to cause the kite to emit a magical burst of wind behind itself that propels it, and the creature strapped into it, up to 80 feet in the direction that it is facing. This ability may be used up to 3 times before the kite runs out of magical energy. The kite regains 1 use of this ability every 12 hours that it is not used. While this kite is airborne and horizontal, it travels forward at a rate of 30 feet per round and descends at a rate of 10 feet per round. The user may change the direction they are flying by pulling on the handle.If the harness is strapped to something that is heavier than 400 pounds, the harness will instead break when the command word is spoken, and the kite will fly away.
chimera-trident	Chimera Trident	Weapon (trident), rare (requires attunement) Crafted by: Chimera Goat Head x1 + Chimera Lion Head x1 + Chimera Dragon Head x1 (Blacksmith) This trident’s three horns are made of a chimera’s goat horn, lion tooth, and dragon fang. This trident has three abilities, each of which may be used upon a successful melee weapon attack with this weapon.  You force the creature you hit to succeed on a DC 15 Strength saving throw or be knocked prone. The next weapon attack by one of your allies that is made against the creature you hit is made with advantage so long as you are within melee range of that creature. You deal an additional 1d8 fire damage. Once used, an individual ability may not be used again until the next dawn.
chuul-s-caress-poison	Chuul’s Caress Poison	Poison, uncommon Crafted by: Chuul Venom x1 vial (Alchemist) This poison can be used to coat up to 10 pieces of slashing or piercing ammunition or one slashing or piercing weapon. Applying the poison takes 1 minute. For the next minute, any creature successfully hit must make a DC 13 Constitution saving throw or become poisoned for 1 minute. While poisoned in this way, the creature is paralyzed. The creature can repeat the saving throw at the end of each of its turn, ending the effect on itself on a success.
cinder-shield	Cinder Shield	Armour (shield), rare (requires attunement) Crafted by: Salamander Scale x1 large pouch (Blacksmith) You have a +1 bonus to AC while wearing this shield. While wearing this shield, if you are subjected to an effect that allows you to make a Dexterity saving throw to take only half damage and if that damage type is fire, you may use your reaction to instead take no damage if you succeed on the saving throw, interposing your shield between yourself and the source of the effect. 
clay-weapon	Clay Weapon	Weapon (any melee bludgeoning weapon), rare (requires attunement) Crafted by: Clay Golem Clay x1 (Blacksmith) You gain a +1 to attack and damage rolls made with this weapon. While holding this weapon, you may spend an action to magically enhance your agility, giving you a +2 bonus to your AC, advantage on Dexterity saving throws, and the ability to make one basic melee weapon attack as a bonus action. This effect lasts until the end of your next turn. Once this ability has been used once, it cannot be used again until the end of your next short rest.
cloak-of-distorted-time	Cloak of Distorted Time	Wondrous item, very rare (requires attunement) Crafted by: Sphinx Pelt x1 (Leatherworker) You gain advantage on initiative rolls you make while wearing this cloak. If initiative is rolled while you are wearing this robe, you may use your reaction to target up to 7 creatures that you can see within 60 feet of you. The creatures you target re-roll their initiative and keep the new ones. 
